,COUNTER_MEMS,INTERPOLATED_MEMS,Q0,Q1,Q2,Q3,ACCX,ACCY,ACCZ,MAGX,MAGY,MAGZ,img,round
70,18,0,0.472929,0.365784,-0.627502,0.498779,0.936149,-0.277866,-0.045416,-32.721012,-8.203076,75.445518,Car race 3,0
71,19,0,0.472866,0.365845,-0.627563,0.498718,0.936149,-0.277866,-0.045416,-33.017353,-8.006159,75.362534,Car race 3,0
72,20,0,0.472741,0.366089,-0.627563,0.498657,0.945428,-0.256379,-0.059578,-33.124054,-7.679988,75.395317,Car race 3,0
73,21,0,0.472599,0.366211,-0.627502,0.498779,0.945428,-0.256379,-0.059578,-33.060486,-7.655791,75.496872,Car race 3,0
74,22,0,0.472342,0.366333,-0.627625,0.498779,0.95373,-0.276401,-0.056159,-32.925659,-7.602857,75.412468,Car race 3,0
75,23,0,0.472264,0.366455,-0.627563,0.49884,0.95373,-0.276401,-0.056159,-32.996452,-7.559981,75.344101,Car race 3,0
76,24,0,0.4722,0.366516,-0.627625,0.498779,0.933708,-0.267611,-0.054206,-32.820457,-7.725251,75.405388,Car race 3,0
77,25,0,0.472234,0.366577,-0.627563,0.498779,0.939079,-0.274448,-0.054206,-32.626236,-7.992454,75.571693,Car race 3,0
78,26,0,0.472666,0.366333,-0.62738,0.498779,0.949335,-0.272494,-0.051764,-32.530586,-8.068888,75.504738,Car race 3,0
79,27,0,0.472889,0.366211,-0.62738,0.498657,0.949335,-0.272494,-0.051764,-32.513107,-8.025799,75.660507,Car race 3,0
80,28,0,0.473096,0.366089,-0.627441,0.498474,0.939568,-0.269564,-0.061043,-32.663952,-8.062564,75.715012,Car race 3,0
81,29,0,0.473191,0.366028,-0.627502,0.498352,0.939568,-0.269564,-0.061043,-32.726135,-8.032343,75.894157,Car race 3,0
82,30,0,0.473241,0.366089,-0.62738,0.498413,0.946405,-0.271518,-0.054694,-32.639835,-8.064531,75.982605,Car race 3,0
83,31,0,0.473194,0.36615,-0.62738,0.498413,0.946405,-0.271518,-0.054694,-32.674934,-8.255604,75.904243,Car race 3,0
84,0,0,0.473099,0.366272,-0.62738,0.498413,0.942986,-0.282261,-0.048346,-32.720028,-8.427039,75.907433,Car race 3,0
85,1,0,0.472877,0.366455,-0.627441,0.498413,0.942986,-0.282261,-0.048346,-32.741558,-8.505901,75.850021,Car race 3,0
86,2,0,0.472971,0.366333,-0.627441,0.498413,0.941033,-0.261262,-0.057624,-32.775661,-8.336447,75.78685,Car race 3,0
87,3,0,0.472545,0.366882,-0.627441,0.498413,0.941033,-0.261262,-0.057624,-32.788284,-8.334188,75.795685,Car race 3,0
88,4,0,0.472355,0.367065,-0.62738,0.498535,0.942498,-0.270541,-0.066414,-32.665176,-8.237359,75.577835,Car race 3,0
89,5,0,0.472436,0.367004,-0.627258,0.498657,0.942498,-0.270541,-0.066414,-32.76046,-8.128928,75.386383,Car race 3,0
90,6,0,0.472656,0.366638,-0.627258,0.498718,0.937614,-0.279331,-0.055183,-32.789307,-8.146098,75.537971,Car race 3,0
91,7,0,0.472876,0.366394,-0.62738,0.498535,0.937614,-0.279331,-0.055183,-32.812672,-8.160007,75.660751,Car race 3,0
